title,url,ingredients,steps,uuid,categoria
Jugo de Sandía o Patilla,https://www.mycolombianrecipes.com/es/jugo-de-sandia-o-patilla/,"5 tazas de sandía pelada y cortada en trozos
1 taza de hielo triturado
½ de taza de agua helada
2 cucharadas de azúcar","Coloque todos los ingredientes en una licuadora y mezcla hasta que quede suave.
Servir de inmediato y disfrutar!",86afb097-e16a-11ed-b8a1-a96d6180cd25,bebida
Jugo de Mango,https://www.mycolombianrecipes.com/es/jugo-de-mango/,"5 tazas de mangos pelados y cortados en trozos
4 tazas de agua
3 cucharadas de azúcar
½ taza de hielo picado","Coloque todos los ingredientes, excepto el hielo en una licuadora y mezcla. Agregue el hielo picado y mezclar hasta que quede suave.",86afb09e-e16a-11ed-956f-a96d6180cd25,bebida
Jugo de Piña,https://www.mycolombianrecipes.com/es/jugo-de-pina/,"3 tazas de piña pelada y en cubos
1 ½ tazas de agua
½ de taza de hielo picado
2 cucharadas de azuúcar","Coloque todos los ingredientes, excepto el hielo en una licuadora y mezcle hasta que esté suave.
Devuelva el jugo a la licuadora, agregar el hielo y mezcle hasta que quede suave.
Servir inmediatamente.",86afb0b3-e16a-11ed-b5fa-a96d6180cd25,bebida
Jugo de Banano en Leche,https://www.mycolombianrecipes.com/es/jugo-de-banano-en-leche/,"1 taza de leche
2 bananos maduros grandes pelados y cortados en trozos
¼ cucharadita de extracto de vainilla
1 ½ cucharadita de azúcar o al gusto
Pizca de canela molida
¼ taza de hielo picado","Coloque todos los ingredientes en una licuadora hasta que quede suave.
Sirve de inmediato y disfruta.",86afb0b4-e16a-11ed-91ec-a96d6180cd25,bebida
Jugo de Sandía o Patilla,https://www.mycolombianrecipes.com/es/jugo-de-sandia-o-patilla/,"5 tazas de sandía pelada y cortada en trozos
1 taza de hielo triturado
½ de taza de agua helada
2 cucharadas de azúcar","Coloque todos los ingredientes en una licuadora y mezcla hasta que quede suave.
Servir de inmediato y disfrutar!",86afb0bb-e16a-11ed-8355-a96d6180cd25,bebida
Jugo de Mango,https://www.mycolombianrecipes.com/es/jugo-de-mango/,"5 tazas de mangos pelados y cortados en trozos
4 tazas de agua
3 cucharadas de azúcar
½ taza de hielo picado","Coloque todos los ingredientes, excepto el hielo en una licuadora y mezcla. Agregue el hielo picado y mezclar hasta que quede suave.",86afb0c3-e16a-11ed-a928-a96d6180cd25,bebida
Jugo de Tomate de Arbol,https://www.mycolombianrecipes.com/es/jugo-de-tomate-de-arbol/,"4  tomates de árbol o tamarillo
2 tazas de leche
¼ de taza de hielo picado","Coloque todos los ingredientes, excepto el hielo en una licuadora y mezcle hasta que esté suave.
Colar el jugo a través de un tamiz.
Vierta el jugo de vuelta en la licuadora, agregue el hielo picado y mezclar hasta que quede suave. Servir y disfrutar!",86afb0d7-e16a-11ed-acfe-a96d6180cd25,bebida
Jugo de Piña,https://www.mycolombianrecipes.com/es/jugo-de-pina/,"3 tazas de piña pelada y en cubos
1 ½ tazas de agua
½ de taza de hielo picado
2 cucharadas de azuúcar","Coloque todos los ingredientes, excepto el hielo en una licuadora y mezcle hasta que esté suave.
Devuelva el jugo a la licuadora, agregar el hielo y mezcle hasta que quede suave.
Servir inmediatamente.",86afb0d8-e16a-11ed-b85a-a96d6180cd25,bebida
Jugo de Banano en Leche,https://www.mycolombianrecipes.com/es/jugo-de-banano-en-leche/,"1 taza de leche
2 bananos maduros grandes pelados y cortados en trozos
¼ cucharadita de extracto de vainilla
1 ½ cucharadita de azúcar o al gusto
Pizca de canela molida
¼ taza de hielo picado","Coloque todos los ingredientes en una licuadora hasta que quede suave.
Sirve de inmediato y disfruta.",86afb0d9-e16a-11ed-81dd-a96d6180cd25,bebida
jugo de fresa con mora,https://www.recetasgratis.net/receta-de-jugo-de-fresa-con-mora-47770.html,"un litro de agua 10 fresas rojas
5 cucharadas de azucar y
10 moras","1 En una licuadora batimos el agua junto a las fresas el azucar y la mora , luegocernimos el jugo en un embase meter al congelador por 2:00 horas listo haora disfruta de tu bebida fria.",63839eb2-f67e-45a4-ad83-43f4487fefbd,bebida
Jugo de piña y limón,https://www.recetasgratis.net/receta-de-jugo-de-pina-y-limon-42881.html,"1 cucharada sopera de Vinagre
1 vaso de Agua
2 rodajas de Piña
½ unidad de Limón (zumo)","1 Agrega todos los ingredientes en la licuadora y procesa hasta que la piña se haya triturado por completo. El vinagre para esta receta puede ser vinagre blanco o de manzana. 
2 Si quieres endulzar un poco puedes añadir miel o azúcar moreno, pero recuerda que este jugo de piña es especial para depurar el cuerpo y perder peso, así que no te pases con el dulce. 
3 Bebe el jugo de piña y limón entre 3 y 4 días por semana, no más. Puedes beberlo un día sí y uno no por ejemplo, por las mañanas o en la cena.",615f0469-8407-4b9a-99e2-0f788153d397,bebida
Jugo de naranja con jengibre para la gripe,https://www.recetasgratis.net/receta-de-jugo-de-naranja-con-jengibre-para-la-gripe-67818.html,"6 naranjas grandes
4 fresas
1 trozo de jengibre fresco grande (raíz)
2 ramas de apio","1 Exprime el zumo de las naranjas. Truco: Si utilizas la naranja de variedad especial para zumos obtendrás alrededor de 1 litro de zumo. 
2 Vierte 1-2 tazas el zumo de naranja en el vaso de la batidora y añade los tallos de apio troceados. Bate bien hasta que el apio de triture y mezcla con el resto del zumo. 
3 Corta la fresa y el jengibre en rodajas y ponlas en una jarra. Vierte el zumo de naranja dentro y deja reposar en la nevera una hora antes de servir. 
4 Sirve el zumo de naranja con jengibre para la gripe o el resfriado en ayunas o cuando te apetezca.Si entras en mi blog Vegspiration encontrarás muchas otras recetas de jugos y zumos caseros con muchas propiedades para combatir diferentes afecciones con remedios naturales.",81f0385e-25a9-4804-b763-b2e44db85bb9,bebida
